GPSTrack
013950009319543 - 13.575881,100.767338 - time13/09/2015 0:00:07
013950009315384 - 13.575813,100.767528 - time13/09/2015 7:53:45
013950009319790 - 13.575731,100.767250 - time13/09/2015 7:53:50
013950009324832 - 13.575656,100.767253 - time13/09/2015 7:53:52
013950009320004 - 13.575713,100.767280 - time13/09/2015 7:53:53
013950009320509 - 13.575915,100.767378 - time13/09/2015 7:53:53
013950009320426 - 13.575776,100.767285 - time13/09/2015 7:53:53
013950009314809 - 13.575690,100.767331 - time13/09/2015 7:53:57
013950009309742 - 13.575755,100.767065 - time13/09/2015 7:53:57
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:53:57
013950009324535 - 13.575703,100.767250 - time13/09/2015 7:54:01
013950009319543 - 13.575770,100.767615 - time13/09/2015 7:54:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:54:07
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:54:07
013950009312506 - 13.575653,100.767605 - time13/09/2015 7:54:10
013950009323768 - 13.575816,100.767006 - time13/09/2015 7:54:11
013950009319972 - 13.575845,100.767345 - time13/09/2015 7:54:12
013950009320152 - 13.575825,100.767081 - time13/09/2015 7:54:12
013950009315384 - 13.575823,100.767533 - time13/09/2015 7:54:15
013950009319790 - 13.575740,100.767261 - time13/09/2015 7:54:20
013950009324832 - 13.575673,100.767251 - time13/09/2015 7:54:22
013950009320004 - 13.575730,100.767238 - time13/09/2015 7:54:23
013950009320426 - 13.575755,100.767280 - time13/09/2015 7:54:23
013950009320509 - 13.575910,100.767356 - time13/09/2015 7:54:23
013950009314809 - 13.575706,100.767328 - time13/09/2015 7:54:27
013950009309742 - 13.575760,100.767071 - time13/09/2015 7:54:27
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:54:28
013950009324535 - 13.575771,100.767228 - time13/09/2015 7:54:31
013950009319543 - 13.575871,100.767611 - time13/09/2015 7:54:31
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:54:37
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:54:37
013950009312506 - 13.575666,100.767550 - time13/09/2015 7:54:40
013950009323768 - 13.575821,100.766996 - time13/09/2015 7:54:41
013950009320152 - 13.575830,100.767085 - time13/09/2015 7:54:42
013950009319972 - 13.575810,100.767331 - time13/09/2015 7:54:42
013950009315384 - 13.575788,100.767545 - time13/09/2015 7:54:45
013950009319790 - 13.575750,100.767261 - time13/09/2015 7:54:50
013950009324832 - 13.575740,100.767231 - time13/09/2015 7:54:52
013950009320004 - 13.575690,100.767248 - time13/09/2015 7:54:53
013950009320426 - 13.575746,100.767278 - time13/09/2015 7:54:53
013950009320509 - 13.575900,100.767431 - time13/09/2015 7:54:53
013950009314809 - 13.575703,100.767330 - time13/09/2015 7:54:57
013950009309742 - 13.575761,100.767063 - time13/09/2015 7:54:57
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:54:58
013950009324535 - 13.575721,100.767215 - time13/09/2015 7:55:00
013950009319543 - 13.575870,100.767555 - time13/09/2015 7:55:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:55:07
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:55:08
013950009312506 - 13.575708,100.767580 - time13/09/2015 7:55:10
013950009323768 - 13.575818,100.766981 - time13/09/2015 7:55:11
013950009319972 - 13.575850,100.767326 - time13/09/2015 7:55:12
013950009320152 - 13.575831,100.767076 - time13/09/2015 7:55:12
013950009315384 - 13.575795,100.767553 - time13/09/2015 7:55:15
013950009319790 - 13.575748,100.767256 - time13/09/2015 7:55:20
013950009324832 - 13.575743,100.767215 - time13/09/2015 7:55:22
013950009320426 - 13.575733,100.767293 - time13/09/2015 7:55:23
013950009320509 - 13.575743,100.767406 - time13/09/2015 7:55:23
013950009320004 - 13.575685,100.767278 - time13/09/2015 7:55:23
013950009314809 - 13.575705,100.767313 - time13/09/2015 7:55:27
013950009309742 - 13.575765,100.767061 - time13/09/2015 7:55:27
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:55:28
013950009324535 - 13.575780,100.767245 - time13/09/2015 7:55:30
013950009319543 - 13.575906,100.767423 - time13/09/2015 7:55:31
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:55:37
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:55:38
013950009312506 - 13.575723,100.767640 - time13/09/2015 7:55:40
013950009323768 - 13.575820,100.766961 - time13/09/2015 7:55:41
013950009320152 - 13.575825,100.767086 - time13/09/2015 7:55:41
013950009319972 - 13.575816,100.767370 - time13/09/2015 7:55:42
013950009315384 - 13.575795,100.767568 - time13/09/2015 7:55:45
013950009319790 - 13.575736,100.767261 - time13/09/2015 7:55:50
013950009324832 - 13.575688,100.767265 - time13/09/2015 7:55:52
013950009320004 - 13.575691,100.767266 - time13/09/2015 7:55:53
013950009320509 - 13.575643,100.767403 - time13/09/2015 7:55:53
013950009320426 - 13.575720,100.767303 - time13/09/2015 7:55:53
013950009314809 - 13.575681,100.767303 - time13/09/2015 7:55:57
013950009309742 - 13.575778,100.767071 - time13/09/2015 7:55:57
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:55:59
013950009324535 - 13.575826,100.767263 - time13/09/2015 7:56:00
013950009319543 - 13.575771,100.767396 - time13/09/2015 7:56:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:56:08
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:56:08
013950009312506 - 13.575763,100.767701 - time13/09/2015 7:56:10
013950009323768 - 13.575828,100.766938 - time13/09/2015 7:56:11
013950009319972 - 13.575790,100.767435 - time13/09/2015 7:56:12
013950009320152 - 13.575813,100.767086 - time13/09/2015 7:56:11
013950009315384 - 13.575815,100.767590 - time13/09/2015 7:56:15
013950009319790 - 13.575726,100.767258 - time13/09/2015 7:56:20
013950009324832 - 13.575658,100.767281 - time13/09/2015 7:56:22
013950009320509 - 13.575631,100.767408 - time13/09/2015 7:56:23
013950009320426 - 13.575716,100.767316 - time13/09/2015 7:56:23
013950009320004 - 13.575713,100.767281 - time13/09/2015 7:56:23
013950009309742 - 13.575770,100.767060 - time13/09/2015 7:56:27
013950009314809 - 13.575686,100.767290 - time13/09/2015 7:56:27
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:56:29
013950009324535 - 13.575621,100.767331 - time13/09/2015 7:56:30
013950009319543 - 13.575815,100.767475 - time13/09/2015 7:56:31
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:56:38
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:56:38
013950009312506 - 13.575710,100.767683 - time13/09/2015 7:56:40
013950009323768 - 13.575825,100.766950 - time13/09/2015 7:56:41
013950009320152 - 13.575785,100.767070 - time13/09/2015 7:56:41
013950009319972 - 13.575688,100.767448 - time13/09/2015 7:56:41
013950009315384 - 13.575821,100.767625 - time13/09/2015 7:56:45
013950009319790 - 13.575725,100.767263 - time13/09/2015 7:56:49
013950009324832 - 13.575640,100.767271 - time13/09/2015 7:56:52
013950009320509 - 13.575693,100.767395 - time13/09/2015 7:56:53
013950009320004 - 13.575761,100.767311 - time13/09/2015 7:56:53
013950009320426 - 13.575720,100.767330 - time13/09/2015 7:56:53
013950009314809 - 13.575686,100.767306 - time13/09/2015 7:56:57
013950009309742 - 13.575768,100.767058 - time13/09/2015 7:56:57
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:56:59
013950009324535 - 13.575681,100.767291 - time13/09/2015 7:57:00
013950009319543 - 13.575880,100.767516 - time13/09/2015 7:57:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:57:08
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:57:09
013950009312506 - 13.575706,100.767686 - time13/09/2015 7:57:10
013950009323768 - 13.575813,100.766966 - time13/09/2015 7:57:11
013950009319972 - 13.575710,100.767413 - time13/09/2015 7:57:11
013950009320152 - 13.575778,100.767030 - time13/09/2015 7:57:11
013950009315384 - 13.575750,100.767603 - time13/09/2015 7:57:15
013950009319790 - 13.575725,100.767260 - time13/09/2015 7:57:19
013950009324832 - 13.575596,100.767266 - time13/09/2015 7:57:22
013950009320509 - 13.575753,100.767368 - time13/09/2015 7:57:23
013950009320426 - 13.575726,100.767335 - time13/09/2015 7:57:23
013950009320004 - 13.575713,100.767256 - time13/09/2015 7:57:23
013950009309742 - 13.575761,100.767045 - time13/09/2015 7:57:27
013950009314809 - 13.575700,100.767315 - time13/09/2015 7:57:27
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:57:29
013950009324535 - 13.575790,100.767315 - time13/09/2015 7:57:30
013950009319543 - 13.575968,100.767535 - time13/09/2015 7:57:31
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:57:38
013950009312506 - 13.575750,100.767653 - time13/09/2015 7:57:39
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:57:39
013950009323768 - 13.575806,100.766998 - time13/09/2015 7:57:41
013950009320152 - 13.575786,100.767020 - time13/09/2015 7:57:41
013950009319972 - 13.575685,100.767436 - time13/09/2015 7:57:41
013950009315384 - 13.575763,100.767598 - time13/09/2015 7:57:45
013950009319790 - 13.575726,100.767265 - time13/09/2015 7:57:49
013950009324832 - 13.575558,100.767246 - time13/09/2015 7:57:52
013950009320509 - 13.575763,100.767350 - time13/09/2015 7:57:53
013950009320426 - 13.575728,100.767333 - time13/09/2015 7:57:53
013950009320004 - 13.575723,100.767230 - time13/09/2015 7:57:53
013950009309742 - 13.575765,100.767040 - time13/09/2015 7:57:57
013950009314809 - 13.575696,100.767320 - time13/09/2015 7:57:57
013950009324535 - 13.575796,100.767323 - time13/09/2015 7:58:00
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:58:00
013950009319543 - 13.576116,100.767590 - time13/09/2015 7:58:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:58:08
013950009312506 - 13.575910,100.767546 - time13/09/2015 7:58:09
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:58:09
013950009323768 - 13.575810,100.767021 - time13/09/2015 7:58:11
013950009320152 - 13.575820,100.767001 - time13/09/2015 7:58:11
013950009319972 - 13.575628,100.767421 - time13/09/2015 7:58:11
013950009315384 - 13.575745,100.767593 - time13/09/2015 7:58:15
013950009319790 - 13.575740,100.767266 - time13/09/2015 7:58:19
013950009324832 - 13.575636,100.767201 - time13/09/2015 7:58:22
013950009320509 - 13.575791,100.767335 - time13/09/2015 7:58:23
013950009320426 - 13.575731,100.767328 - time13/09/2015 7:58:23
013950009320004 - 13.575676,100.767231 - time13/09/2015 7:58:23
013950009314809 - 13.575696,100.767321 - time13/09/2015 7:58:27
013950009309742 - 13.575771,100.767045 - time13/09/2015 7:58:27
013950009324535 - 13.575801,100.767285 - time13/09/2015 7:58:30
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:58:30
013950009319543 - 13.576035,100.767566 - time13/09/2015 7:58:31
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:58:38
013950009312506 - 13.575890,100.767583 - time13/09/2015 7:58:39
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:58:39
013950009320152 - 13.575811,100.766983 - time13/09/2015 7:58:41
013950009323768 - 13.575818,100.767008 - time13/09/2015 7:58:41
013950009319972 - 13.575670,100.767433 - time13/09/2015 7:58:41
013950009315384 - 13.575761,100.767576 - time13/09/2015 7:58:45
013950009319790 - 13.575743,100.767256 - time13/09/2015 7:58:49
013950009324832 - 13.575683,100.767200 - time13/09/2015 7:58:52
013950009320509 - 13.575843,100.767355 - time13/09/2015 7:58:53
013950009320426 - 13.575741,100.767318 - time13/09/2015 7:58:53
013950009320004 - 13.575671,100.767181 - time13/09/2015 7:58:53
013950009314809 - 13.575701,100.767316 - time13/09/2015 7:58:56
013950009309742 - 13.575765,100.767045 - time13/09/2015 7:58:57
013950009324535 - 13.575763,100.767351 - time13/09/2015 7:59:00
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:59:00
013950009319543 - 13.575916,100.767541 - time13/09/2015 7:59:01
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:59:09
013950009312506 - 13.575918,100.767603 - time13/09/2015 7:59:09
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:59:10
013950009320152 - 13.575811,100.766993 - time13/09/2015 7:59:11
013950009319972 - 13.575695,100.767453 - time13/09/2015 7:59:11
013950009323768 - 13.575816,100.767005 - time13/09/2015 7:59:11
013950009315384 - 13.575763,100.767565 - time13/09/2015 7:59:15
013950009319790 - 13.575736,100.767261 - time13/09/2015 7:59:19
013950009320509 - 13.575813,100.767323 - time13/09/2015 7:59:23
013950009320426 - 13.575745,100.767300 - time13/09/2015 7:59:23
013950009324832 - 13.575650,100.767208 - time13/09/2015 7:59:22
013950009320004 - 13.575660,100.767201 - time13/09/2015 7:59:23
013950009314809 - 13.575706,100.767310 - time13/09/2015 7:59:26
013950009309742 - 13.575766,100.767040 - time13/09/2015 7:59:27
013950009324535 - 13.575720,100.767396 - time13/09/2015 7:59:30
013950009319543 - 13.575876,100.767650 - time13/09/2015 7:59:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 7:59:30
013777008958603 - 13.575545,100.766998 - time13/09/2015 7:59:39
013950009312506 - 13.575870,100.767638 - time13/09/2015 7:59:39
013950009323768 - 13.575805,100.767013 - time13/09/2015 7:59:41
013950009320152 - 13.575816,100.767015 - time13/09/2015 7:59:41
013950009319972 - 13.575753,100.767431 - time13/09/2015 7:59:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 7:59:40
013950009315384 - 13.575751,100.767496 - time13/09/2015 7:59:45
013950009319790 - 13.575723,100.767253 - time13/09/2015 7:59:49
013950009324832 - 13.575663,100.767213 - time13/09/2015 7:59:52
013950009320509 - 13.575828,100.767303 - time13/09/2015 7:59:53
013950009320426 - 13.575741,100.767280 - time13/09/2015 7:59:53
013950009320004 - 13.575665,100.767295 - time13/09/2015 7:59:53
013950009309742 - 13.575761,100.767035 - time13/09/2015 7:59:57
013950009314809 - 13.575716,100.767308 - time13/09/2015 7:59:56
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:00:01
013950009312506 - 13.575823,100.767640 - time13/09/2015 8:00:09
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:00:09
013950009320152 - 13.575813,100.767016 - time13/09/2015 8:00:11
013950009319972 - 13.575708,100.767425 - time13/09/2015 8:00:11
013950009323768 - 13.575781,100.766985 - time13/09/2015 8:00:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:00:10
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:00:31
013950009315384 - 13.575748,100.767488 - time13/09/2015 8:00:15
013950009319790 - 13.575723,100.767251 - time13/09/2015 8:00:19
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:00:39
013950009320509 - 13.575818,100.767300 - time13/09/2015 8:00:23
013950009312506 - 13.575815,100.767601 - time13/09/2015 8:00:39
013950009320426 - 13.575755,100.767285 - time13/09/2015 8:00:23
013950009324832 - 13.575668,100.767158 - time13/09/2015 8:00:22
013950009320152 - 13.575795,100.767011 - time13/09/2015 8:00:41
013950009320004 - 13.575655,100.767310 - time13/09/2015 8:00:23
013950009319972 - 13.575731,100.767436 - time13/09/2015 8:00:41
013950009323768 - 13.575755,100.766968 - time13/09/2015 8:00:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:00:40
013950009314809 - 13.575731,100.767301 - time13/09/2015 8:00:26
013950009309742 - 13.575763,100.767046 - time13/09/2015 8:00:27
013950009315384 - 13.575718,100.767473 - time13/09/2015 8:00:46
013950009324535 - 13.575713,100.767408 - time13/09/2015 8:00:00
013950009319790 - 13.575731,100.767260 - time13/09/2015 8:00:48
013950009319543 - 13.575856,100.767535 - time13/09/2015 8:00:01
013950009324535 - 13.575645,100.767413 - time13/09/2015 8:00:30
013950009319543 - 13.575971,100.767396 - time13/09/2015 8:00:31
013950009320426 - 13.575776,100.767298 - time13/09/2015 8:00:53
013950009320509 - 13.575766,100.767338 - time13/09/2015 8:00:53
013950009324832 - 13.575680,100.767141 - time13/09/2015 8:00:52
013950009320004 - 13.575685,100.767270 - time13/09/2015 8:00:53
013950009314809 - 13.575730,100.767321 - time13/09/2015 8:00:56
013950009309742 - 13.575755,100.767046 - time13/09/2015 8:00:56
013950009324535 - 13.575690,100.767388 - time13/09/2015 8:01:00
013950009319543 - 13.576136,100.767391 - time13/09/2015 8:01:01
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:01:01
013950009312506 - 13.575828,100.767586 - time13/09/2015 8:01:09
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:01:09
013950009319972 - 13.575735,100.767420 - time13/09/2015 8:01:11
013950009320152 - 13.575790,100.767018 - time13/09/2015 8:01:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:01:11
013950009323768 - 13.575781,100.766963 - time13/09/2015 8:01:11
013950009315384 - 13.575713,100.767473 - time13/09/2015 8:01:16
013950009319790 - 13.575730,100.767270 - time13/09/2015 8:01:18
013950009324832 - 13.575691,100.767161 - time13/09/2015 8:01:22
013950009320426 - 13.575778,100.767295 - time13/09/2015 8:01:23
013950009320509 - 13.575748,100.767350 - time13/09/2015 8:01:22
013950009320004 - 13.575721,100.767183 - time13/09/2015 8:01:23
013950009309742 - 13.575755,100.767048 - time13/09/2015 8:01:26
013950009314809 - 13.575735,100.767323 - time13/09/2015 8:01:26
013950009324535 - 13.575735,100.767345 - time13/09/2015 8:01:30
013950009319543 - 13.575943,100.767436 - time13/09/2015 8:01:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:01:31
013950009312506 - 13.575740,100.767555 - time13/09/2015 8:01:38
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:01:39
013950009320152 - 13.575793,100.767006 - time13/09/2015 8:01:40
013950009319972 - 13.575720,100.767378 - time13/09/2015 8:01:41
013950009323768 - 13.575790,100.766978 - time13/09/2015 8:01:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:01:41
013950009315384 - 13.575705,100.767473 - time13/09/2015 8:01:46
013950009319790 - 13.575718,100.767268 - time13/09/2015 8:01:48
013950009320426 - 13.575775,100.767270 - time13/09/2015 8:01:53
013950009320509 - 13.575755,100.767355 - time13/09/2015 8:01:52
013950009324832 - 13.575771,100.767211 - time13/09/2015 8:01:52
013950009320004 - 13.575750,100.767191 - time13/09/2015 8:01:53
013950009309742 - 13.575755,100.767058 - time13/09/2015 8:01:56
013950009314809 - 13.575728,100.767335 - time13/09/2015 8:01:56
013950009324535 - 13.575765,100.767323 - time13/09/2015 8:02:00
013950009319543 - 13.575981,100.767531 - time13/09/2015 8:02:01
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:02:02
013950009312506 - 13.575805,100.767576 - time13/09/2015 8:02:08
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:02:09
013950009320152 - 13.575785,100.766996 - time13/09/2015 8:02:10
013950009319972 - 13.575718,100.767388 - time13/09/2015 8:02:11
013950009323768 - 13.575800,100.766991 - time13/09/2015 8:02:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:02:11
013950009315384 - 13.575698,100.767518 - time13/09/2015 8:02:16
013950009319790 - 13.575706,100.767270 - time13/09/2015 8:02:18
013950009320509 - 13.575731,100.767388 - time13/09/2015 8:02:22
013950009320426 - 13.575775,100.767255 - time13/09/2015 8:02:23
013950009324832 - 13.575818,100.767203 - time13/09/2015 8:02:23
013950009320004 - 13.575758,100.767230 - time13/09/2015 8:02:23
013950009314809 - 13.575726,100.767335 - time13/09/2015 8:02:26
013950009309742 - 13.575751,100.767058 - time13/09/2015 8:02:26
013950009324535 - 13.575751,100.767440 - time13/09/2015 8:02:30
013950009319543 - 13.576080,100.767516 - time13/09/2015 8:02:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:02:32
013950009312506 - 13.575813,100.767638 - time13/09/2015 8:02:38
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:02:40
013950009320152 - 13.575775,100.766995 - time13/09/2015 8:02:40
013950009319972 - 13.575691,100.767431 - time13/09/2015 8:02:41
013950009323768 - 13.575813,100.767008 - time13/09/2015 8:02:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:02:42
013950009315384 - 13.575740,100.767528 - time13/09/2015 8:02:46
013950009319790 - 13.575691,100.767255 - time13/09/2015 8:02:48
013950009320509 - 13.575731,100.767365 - time13/09/2015 8:02:52
013950009324832 - 13.575835,100.767253 - time13/09/2015 8:02:53
013950009320426 - 13.575775,100.767240 - time13/09/2015 8:02:52
013950009320004 - 13.575770,100.767270 - time13/09/2015 8:02:53
013950009309742 - 13.575748,100.767051 - time13/09/2015 8:02:56
013950009314809 - 13.575728,100.767340 - time13/09/2015 8:02:56
013950009324535 - 13.575726,100.767430 - time13/09/2015 8:02:59
013950009319543 - 13.576113,100.767476 - time13/09/2015 8:03:01
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:03:02
013950009312506 - 13.575746,100.767668 - time13/09/2015 8:03:08
013950009320152 - 13.575770,100.766981 - time13/09/2015 8:03:10
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:03:10
013950009319972 - 13.575666,100.767438 - time13/09/2015 8:03:11
013950009323768 - 13.575801,100.767001 - time13/09/2015 8:03:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:03:12
013950009315384 - 13.575753,100.767536 - time13/09/2015 8:03:16
013950009319790 - 13.575691,100.767250 - time13/09/2015 8:03:18
013950009320509 - 13.575761,100.767323 - time13/09/2015 8:03:22
013950009324832 - 13.575853,100.767273 - time13/09/2015 8:03:23
013950009320426 - 13.575770,100.767236 - time13/09/2015 8:03:22
013950009320004 - 13.575768,100.767248 - time13/09/2015 8:03:23
013950009309742 - 13.575756,100.767038 - time13/09/2015 8:03:26
013950009314809 - 13.575725,100.767333 - time13/09/2015 8:03:26
013950009324535 - 13.575661,100.767456 - time13/09/2015 8:03:29
013950009319543 - 13.576025,100.767458 - time13/09/2015 8:03:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:03:33
013950009312506 - 13.575711,100.767606 - time13/09/2015 8:03:38
013950009320152 - 13.575733,100.766985 - time13/09/2015 8:03:40
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:03:40
013950009319972 - 13.575678,100.767391 - time13/09/2015 8:03:41
013950009323768 - 13.575781,100.767001 - time13/09/2015 8:03:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:03:42
013950009315384 - 13.575743,100.767558 - time13/09/2015 8:03:46
013950009319790 - 13.575698,100.767255 - time13/09/2015 8:03:48
013950009320426 - 13.575770,100.767231 - time13/09/2015 8:03:52
013950009320509 - 13.575813,100.767331 - time13/09/2015 8:03:52
013950009324832 - 13.575840,100.767323 - time13/09/2015 8:03:53
013950009320004 - 13.575723,100.767260 - time13/09/2015 8:03:53
013950009309742 - 13.575765,100.767030 - time13/09/2015 8:03:56
013950009314809 - 13.575713,100.767333 - time13/09/2015 8:03:56
013950009324535 - 13.575631,100.767405 - time13/09/2015 8:03:59
013950009319543 - 13.575931,100.767471 - time13/09/2015 8:04:01
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:04:03
013950009312506 - 13.575701,100.767528 - time13/09/2015 8:04:08
013950009320152 - 13.575746,100.767005 - time13/09/2015 8:04:10
013950009319972 - 13.575686,100.767390 - time13/09/2015 8:04:10
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:04:10
013950009323768 - 13.575778,100.767000 - time13/09/2015 8:04:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:04:12
013950009315384 - 13.575716,100.767573 - time13/09/2015 8:04:16
013950009319790 - 13.575698,100.767255 - time13/09/2015 8:04:17
013950009320509 - 13.575806,100.767380 - time13/09/2015 8:04:22
013950009320426 - 13.575770,100.767225 - time13/09/2015 8:04:22
013950009324832 - 13.575796,100.767340 - time13/09/2015 8:04:23
013950009320004 - 13.575730,100.767315 - time13/09/2015 8:04:23
013950009309742 - 13.575771,100.767025 - time13/09/2015 8:04:26
013950009314809 - 13.575713,100.767333 - time13/09/2015 8:04:26
013950009324535 - 13.575640,100.767350 - time13/09/2015 8:04:29
013950009319543 - 13.575858,100.767443 - time13/09/2015 8:04:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:04:33
013950009312506 - 13.575676,100.767551 - time13/09/2015 8:04:38
013950009320152 - 13.575796,100.766991 - time13/09/2015 8:04:40
013950009319972 - 13.575710,100.767405 - time13/09/2015 8:04:40
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:04:40
013950009323768 - 13.575766,100.767000 - time13/09/2015 8:04:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:04:43
013950009315384 - 13.575733,100.767568 - time13/09/2015 8:04:46
013950009319790 - 13.575696,100.767261 - time13/09/2015 8:04:47
013950009320426 - 13.575766,100.767211 - time13/09/2015 8:04:52
013950009320509 - 13.575770,100.767411 - time13/09/2015 8:04:52
013950009324832 - 13.575730,100.767333 - time13/09/2015 8:04:53
013950009320004 - 13.575795,100.767366 - time13/09/2015 8:04:53
013950009309742 - 13.575780,100.767030 - time13/09/2015 8:04:56
013950009314809 - 13.575710,100.767335 - time13/09/2015 8:04:56
013950009324535 - 13.575721,100.767321 - time13/09/2015 8:04:59
013950009319543 - 13.575735,100.767461 - time13/09/2015 8:05:01
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:05:03
013950009312506 - 13.575583,100.767488 - time13/09/2015 8:05:08
013950009320152 - 13.575828,100.767021 - time13/09/2015 8:05:10
013950009319972 - 13.575740,100.767395 - time13/09/2015 8:05:10
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:05:10
013950009323768 - 13.575763,100.767015 - time13/09/2015 8:05:11
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:05:13
013950009315384 - 13.575775,100.767535 - time13/09/2015 8:05:16
013950009319790 - 13.575693,100.767266 - time13/09/2015 8:05:17
013950009320426 - 13.575771,100.767215 - time13/09/2015 8:05:22
013950009320509 - 13.575841,100.767406 - time13/09/2015 8:05:22
013950009320004 - 13.575763,100.767431 - time13/09/2015 8:05:23
013950009324832 - 13.575718,100.767275 - time13/09/2015 8:05:23
013950009309742 - 13.575781,100.767041 - time13/09/2015 8:05:26
013950009314809 - 13.575703,100.767336 - time13/09/2015 8:05:26
013950009324535 - 13.575810,100.767281 - time13/09/2015 8:05:29
013950009319543 - 13.575941,100.767435 - time13/09/2015 8:05:31
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:05:34
013950009312506 - 13.575581,100.767420 - time13/09/2015 8:05:38
013950009320152 - 13.575848,100.767033 - time13/09/2015 8:05:40
013950009319972 - 13.575765,100.767370 - time13/09/2015 8:05:40
013950009323768 - 13.575776,100.767026 - time13/09/2015 8:05:41
013777008958603 - 13.575545,100.766998 - time13/09/2015 8:05:41
013777002492740 - 13.575768,100.767145 - time13/09/2015 8:05:43
013950009315384 - 13.575766,100.767495 - time13/09/2015 8:05:46
013950009319790 - 13.575690,100.767266 - time13/09/2015 8:05:47
013950009320426 - 13.575763,100.767228 - time13/09/2015 8:05:52
013950009320509 - 13.575875,100.767393 - time13/09/2015 8:05:52
013950009324832 - 13.575693,100.767265 - time13/09/2015 8:05:53
013950009320004 - 13.575701,100.767445 - time13/09/2015 8:05:53
013950009309742 - 13.575778,100.767048 - time13/09/2015 8:05:56
013950009314809 - 13.575700,100.767341 - time13/09/2015 8:05:56
013950009324535 - 13.575868,100.767306 - time13/09/2015 8:05:59
013950009319543 - 13.575990,100.767375 - time13/09/2015 8:06:00
013950004395373 - 13.575705,100.767273 - time13/09/2015 8:06:04
013950009312506 - 13.575555,100.767405 - time13/09/2015 8:06:07
013950009320152 - 13.575851,100.767048 - time13/09/2015 8:06:10
013950009319972 - 13.575770,100.767363 - time13/09/2015 8:06:10
013950009323768 - 13.575793,100.767015 - time13/09/2015 8:06:11
