GPSTrack
013950009309742 - 0.000000,0.000000 - time01/01/2000 7:03:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:13:33
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:47:46
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:21:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:53:41
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:33:34
013950009319147 - 13.834913,100.514278 - time11/09/2015 10:24:14
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:26:06
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:08:28
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:37:40
013950009320426 - 13.834980,100.514260 - time11/09/2015 10:24:16
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:48:45
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:54:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:30:04
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:26:20
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:08:34
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:34:04
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:22:39
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:38:40
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:14:25
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:49:45
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:31:04
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:27:06
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:09:28
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:23:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:55:38
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:39:40
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:15:24
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:31:18
013777008958603 - 13.834958,100.514248 - time11/09/2015 10:24:18
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:28:06
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:24:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:55:41
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:50:45
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:40:40
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:10:28
013950009320285 - 13.834941,100.514211 - time11/09/2015 10:24:19
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:34:34
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:16:24
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:25:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:56:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:32:03
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:51:45
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:29:05
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:41:40
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:11:27
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:17:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:35:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:26:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:57:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:33:03
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:52:45
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:42:40
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:30:05
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:12:27
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:18:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:35:33
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:58:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:34:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:27:39
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:43:40
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:53:45
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:13:27
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:31:05
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:19:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:36:03
013950009328270 - 0.000000,0.000000 - time01/01/2000 7:59:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:35:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:28:39
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:13:36
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:54:41
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:20:24
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:32:05
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:36:32
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:44:39
013950009328270 - 13.834931,100.514290 - time11/09/2015 10:24:23
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:36:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:28:53
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:14:27
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:54:44
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:21:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:37:02
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:33:05
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:45:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:00:40
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:37:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:15:26
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:55:44
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:37:32
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:22:24
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:34:05
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:29:39
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:46:30
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:38:03
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:01:40
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:23:24
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:16:26
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:30:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:38:01
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:35:05
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:39:03
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:02:40
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:56:44
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:46:39
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:17:26
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:31:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:38:31
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:23:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:03:40
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:57:44
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:47:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:40:03
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:36:05
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:18:26
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:32:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:39:01
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:24:24
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:04:40
013950009324477 - 13.834913,100.514250 - time11/09/2015 10:24:32
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:48:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:41:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:19:25
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:36:25
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:39:31
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:33:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:25:24
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:05:40
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:58:44
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:49:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:41:23
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:20:25
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:40:00
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:34:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:37:04
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:26:24
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:05:42
013950009324477 - 0.000000,0.000000 - time01/01/2000 7:59:44
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:42:02
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:40:30
013950009309213 - 13.835055,100.514221 - time11/09/2015 10:24:34
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:35:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:27:24
013950009319451 - 13.834861,100.514276 - time11/09/2015 10:24:34
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:50:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:06:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:43:02
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:00:44
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:41:00
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:21:25
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:36:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:28:24
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:38:04
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:51:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:07:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:44:02
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:01:43
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:41:29
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:22:25
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:39:04
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:29:24
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:37:39
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:52:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:45:02
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:02:43
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:08:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:40:04
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:41:59
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:30:24
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:23:24
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:46:02
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:53:39
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:38:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:09:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:42:29
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:03:43
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:23:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:41:04
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:31:24
013950009319972 - 13.835025,100.514191 - time01/01/2000 7:02:40
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:38:59
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:47:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:10:39
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:04:43
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:24:24
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:42:04
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:42:59
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:32:24
013950009329336 - 13.834970,100.514263 - time11/09/2015 10:24:40
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:48:02
013950009314809 - 13.834968,100.514230 - time11/09/2015 10:24:42
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:10:45
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:54:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:04:46
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:43:04
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:25:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:43:28
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:33:24
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:39:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:49:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:11:39
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:55:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:05:43
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:44:04
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:26:24
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:43:58
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:33:44
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:40:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:50:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:12:39
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:06:43
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:44:28
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:27:23
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:34:24
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:45:04
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:41:39
013950009319147 - 13.834941,100.514280 - time11/09/2015 10:24:44
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:13:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:07:43
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:44:57
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:28:23
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:35:24
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:51:02
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:56:35
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:46:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:42:39
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:08:42
013950009320426 - 13.834956,100.514271 - time11/09/2015 10:24:45
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:14:38
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:51:28
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:45:27
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:29:23
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:56:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:46:30
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:43:39
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:36:24
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:15:38
013777008958603 - 13.834958,100.514248 - time11/09/2015 10:24:48
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:52:01
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:30:22
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:09:42
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:44:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:15:47
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:57:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:47:03
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:45:57
013950009320285 - 13.834958,100.514218 - time11/09/2015 10:24:49
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:31:22
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:37:24
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:09:48
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:53:01
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:45:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:16:38
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:58:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:46:26
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:48:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:32:22
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:38:23
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:10:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:54:01
013950009319972 - 0.000000,0.000000 - time01/01/2000 7:59:38
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:46:39
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:17:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:46:56
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:49:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:33:22
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:39:23
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:11:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:55:01
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:00:38
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:47:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:47:26
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:18:38
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:50:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:33:42
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:40:23
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:56:01
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:12:42
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:01:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:47:56
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:51:03
013950009328270 - 13.834900,100.514305 - time11/09/2015 10:24:53
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:34:21
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:41:23
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:13:42
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:57:01
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:48:25
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:52:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:48:39
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:35:21
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:02:38
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:14:42
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:19:37
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:42:23
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:58:01
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:53:03
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:49:06
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:03:38
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:48:55
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:43:23
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:14:50
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:20:37
013950009319147 - 0.000000,0.000000 - time01/01/2000 8:59:01
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:36:21
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:54:02
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:49:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:49:25
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:04:37
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:21:37
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:37:21
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:00:01
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:43:50
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:15:41
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:49:54
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:05:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:55:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:22:37
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:38:20
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:44:23
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:01:01
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:16:41
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:50:24
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:06:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:56:02
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:23:37
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:39:20
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:45:23
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:50:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:50:54
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:01:33
013950009324477 - 13.834905,100.514241 - time11/09/2015 10:25:01
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:06:40
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:40:20
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:56:35
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:24:37
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:46:23
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:51:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:51:24
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:02:00
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:17:41
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:07:37
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:57:02
013950009309213 - 13.835030,100.514251 - time11/09/2015 10:25:03
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:47:23
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:25:37
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:52:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:51:53
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:18:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:03:00
013950009319451 - 13.834856,100.514283 - time11/09/2015 10:25:03
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:41:20
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:48:23
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:08:37
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:52:23
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:19:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:04:00
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:25:51
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:53:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:58:02
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:42:19
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:49:23
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:09:37
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:20:41
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:05:00
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:26:36
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:54:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 8:59:02
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:52:53
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:50:23
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:10:37
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:21:40
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:43:19
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:27:36
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:06:00
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:55:39
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:00:02
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:53:22
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:11:37
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:51:23
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:28:36
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:43:46
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:07:00
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:22:40
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:56:39
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:53:52
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:01:02
013950009319972 - 13.835025,100.514191 - time01/01/2000 7:03:10
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:52:23
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:44:19
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:29:36
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:23:40
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:54:22
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:57:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:08:00
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:02:01
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:11:42
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:53:23
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:45:19
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:30:36
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:24:40
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:54:51
013950009329336 - 13.834953,100.514268 - time11/09/2015 10:25:10
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:09:00
013950009314809 - 13.834928,100.514255 - time11/09/2015 10:25:11
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:03:01
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:12:37
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:53:55
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:46:18
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:31:36
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:24:55
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:55:21
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:58:39
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:10:00
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:04:01
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:54:23
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:47:18
013950009324477 - 0.000000,0.000000 - time01/01/2000 8:25:40
013950009329336 - 0.000000,0.000000 - time01/01/2000 8:59:12
013950009319972 - 0.000000,0.000000 - time01/01/2000 8:13:36
013777008958603 - 9.762193,99.082160 - time07/08/2015 4:55:51
013950009319147 - 0.000000,0.000000 - time01/01/2000 9:10:59
013950009328270 - 0.000000,0.000000 - time01/01/2000 8:32:35
013950009319451 - 0.000000,0.000000 - time01/01/2000 9:05:01
013950009320426 - 0.000000,0.000000 - time01/01/2000 8:55:23
013950009309213 - 0.000000,0.000000 - time01/01/2000 8:48:18
